unit_id,model_id,serial_number,label_code,condition_grade,condition_notes,shipment_id,arrival_date,cost_allocated,location_id,status,reserved_until,reserved_for_customer_id,created_at,updated_at
U-000022,M-0017,SN-M-0017-9M3ZWO,LBL-9M3ZWO,A,Perfecto / muy leve,S-0001,2025-09-23,"82,64",L-0002,AVAILABLE,,,2025-09-23 10:40,2025-09-23 10:47
U-000023,M-0017,SN-M-0017-5PBXNS,LBL-5PBXNS,C,Tara visible / revisar,S-0001,2025-09-23,"91,44",L-0002,AVAILABLE,,,2025-09-23 10:29,2025-09-23 10:11
U-000024,M-0017,SN-M-0017-FQJ89T,LBL-FQJ89T,A,Perfecto / muy leve,S-0001,2025-09-23,"124,38",L-0003,AVAILABLE,,,2025-09-23 10:11,2025-09-23 10:00
U-000025,M-0012,SN-M-0012-DKXI1D,LBL-DKXI1D,B,Leves marcas estéticas,S-0001,2025-09-23,"64,01",L-0001,SOLD,,,2025-09-23 10:01,2025-10-14 12:09
U-000026,M-0012,SN-M-0012-KIVT1X,LBL-KIVT1X,B,Leves marcas estéticas,S-0001,2025-09-23,"88,86",L-0003,AVAILABLE,,,2025-09-23 10:46,2025-09-23 10:31
U-000027,M-0012,SN-M-0012-F0XB46,LBL-F0XB46,B,Leves marcas estéticas,S-0001,2025-09-23,"83,95",L-0001,SOLD,,,2025-09-23 10:58,2025-10-08 12:00
U-000028,M-0012,SN-M-0012-1U3AY2,LBL-1U3AY2,B,Leves marcas estéticas,S-0001,2025-09-23,"91,47",L-0001,SOLD,,,2025-09-23 10:01,2025-10-09 12:40
U-000029,M-0012,SN-M-0012-EMD4UW,LBL-EMD4UW,B,Leves marcas estéticas,S-0001,2025-09-23,"82,16",L-0002,AVAILABLE,,,2025-09-23 10:29,2025-09-23 10:51
U-000030,M-0012,SN-M-0012-C76DS0,LBL-C76DS0,B,Leves marcas estéticas,S-0001,2025-09-23,"86,5",L-0005,IN_REVIEW,,,2025-09-23 10:46,2025-09-23 10:48
U-000031,M-0012,SN-M-0012-H09RNR,LBL-H09RNR,B,Leves marcas estéticas,S-0001,2025-09-23,"85,07",L-0001,SOLD,,,2025-09-23 10:12,2025-10-05 12:17
U-000032,M-0012,SN-M-0012-VLXYWE,LBL-VLXYWE,B,Leves marcas estéticas,S-0001,2025-09-23,"75,57",L-0001,SOLD,,,2025-09-23 10:44,2025-10-23 12:01
U-000033,M-0012,SN-M-0012-YKSQQE,LBL-YKSQQE,C,Tara visible / revisar,S-0001,2025-09-23,56,L-0005,IN_REVIEW,,,2025-09-23 10:01,2025-09-23 10:18
U-000034,M-0012,SN-M-0012-Q38QJH,LBL-Q38QJH,C,Tara visible / revisar,S-0001,2025-09-23,"56,33",L-0002,AVAILABLE,,,2025-09-23 10:47,2025-10-10 16:15
U-000035,M-0012,SN-M-0012-JMVWKE,LBL-JMVWKE,A,Perfecto / muy leve,S-0001,2025-09-23,"75,98",L-0001,SOLD,,,2025-09-23 10:01,2025-10-10 12:29
U-000036,M-0012,SN-M-0012-ARQKFM,LBL-ARQKFM,A,Perfecto / muy leve,S-0001,2025-09-23,"87,55",L-0003,AVAILABLE,,,2025-09-23 10:53,2025-09-23 10:25
U-000037,M-0005,SN-M-0005-Z6KNO9,LBL-Z6KNO9,B,Leves marcas estéticas,S-0001,2025-09-23,"147,33",L-0003,AVAILABLE,,,2025-09-23 10:54,2025-09-23 10:03
U-000038,M-0005,SN-M-0005-KBXWF8,LBL-KBXWF8,B,Leves marcas estéticas,S-0001,2025-09-23,"144,18",L-0003,AVAILABLE,,,2025-09-23 10:56,2025-09-23 10:01
U-000039,M-0005,SN-M-0005-3W67TZ,LBL-3W67TZ,A,Perfecto / muy leve,S-0001,2025-09-23,"173,27",L-0002,AVAILABLE,,,2025-09-23 10:41,2025-09-23 10:55
U-000040,M-0005,SN-M-0005-KB7EQM,LBL-KB7EQM,A,Perfecto / muy leve,S-0001,2025-09-23,"173,73",L-0005,IN_REVIEW,,,2025-09-23 10:25,2025-09-23 10:41
U-000041,M-0005,SN-M-0005-IRYEXC,LBL-IRYEXC,B,Leves marcas estéticas,S-0001,2025-09-23,"178,82",L-0001,SOLD,,,2025-09-23 10:58,2025-12-02 12:52
U-000042,M-0005,SN-M-0005-9QFGDM,LBL-9QFGDM,A,Perfecto / muy leve,S-0001,2025-09-23,"138,84",L-0004,AVAILABLE,,,2025-09-23 10:12,2025-09-23 10:56
U-000043,M-0018,SN-M-0018-OSNMCJ,LBL-OSNMCJ,C,Tara visible / revisar,S-0001,2025-09-23,"47,52",L-0004,AVAILABLE,,,2025-09-23 10:50,2025-09-23 10:55
U-000044,M-0018,SN-M-0018-4D6NXP,LBL-4D6NXP,A,Perfecto / muy leve,S-0001,2025-09-23,"76,42",L-0005,IN_REVIEW,,,2025-09-23 10:02,2025-09-23 10:27
U-000045,M-0018,SN-M-0018-Z6RVAO,LBL-Z6RVAO,C,Tara visible / revisar,S-0001,2025-09-23,"65,24",L-0005,IN_REVIEW,,,2025-09-23 10:15,2025-09-23 10:50
U-000046,M-0018,SN-M-0018-DFSY7Z,LBL-DFSY7Z,B,Leves marcas estéticas,S-0001,2025-09-23,"74,94",L-0004,AVAILABLE,,,2025-09-23 10:49,2025-09-23 10:02
U-000047,M-0018,SN-M-0018-AEUBZ8,LBL-AEUBZ8,B,Leves marcas estéticas,S-0001,2025-09-23,"67,89",L-0002,AVAILABLE,,,2025-09-23 10:06,2025-09-23 10:04
U-000048,M-0018,SN-M-0018-K7GJ2A,LBL-K7GJ2A,B,Leves marcas estéticas,S-0001,2025-09-23,"81,84",L-0001,SOLD,,,2025-09-23 10:41,2025-09-28 12:25
U-000049,M-0018,SN-M-0018-5RII8Z,LBL-5RII8Z,A,Perfecto / muy leve,S-0001,2025-09-23,"52,8",L-0001,SOLD,,,2025-09-23 10:41,2025-10-01 12:08
U-000050,M-0018,SN-M-0018-CIPNRZ,LBL-CIPNRZ,B,Leves marcas estéticas,S-0001,2025-09-23,"62,95",L-0001,SOLD,,,2025-09-23 10:51,2025-10-24 12:37
U-000051,M-0018,SN-M-0018-0SH8L3,LBL-0SH8L3,A,Perfecto / muy leve,S-0001,2025-09-23,"58,75",L-0003,AVAILABLE,,,2025-09-23 10:06,2025-09-23 10:39
U-000052,M-0018,SN-M-0018-RGIPX8,LBL-RGIPX8,A,Perfecto / muy leve,S-0001,2025-09-23,"63,88",L-0001,SOLD,,,2025-09-23 10:09,2025-11-25 12:19
U-000053,M-0018,SN-M-0018-BCO650,LBL-BCO650,C,Tara visible / revisar,S-0001,2025-09-23,"67,92",L-0001,SOLD,,,2025-09-23 10:41,2025-10-11 12:10
U-000054,M-0018,SN-M-0018-SQL049,LBL-SQL049,B,Leves marcas estéticas,S-0001,2025-09-23,"55,4",L-0002,AVAILABLE,,,2025-09-23 10:22,2025-09-23 10:26
U-000055,M-0018,SN-M-0018-8E8HM3,LBL-8E8HM3,B,Leves marcas estéticas,S-0001,2025-09-23,"65,04",L-0001,SOLD,,,2025-09-23 10:12,2025-10-25 12:03
U-000056,M-0018,SN-M-0018-TQL0RW,LBL-TQL0RW,A,Perfecto / muy leve,S-0001,2025-09-23,"70,79",L-0001,SOLD,,,2025-09-23 10:02,2025-10-04 12:51
U-000057,M-0018,SN-M-0018-C7J06M,LBL-C7J06M,A,Perfecto / muy leve,S-0001,2025-09-23,"80,69",L-0001,SOLD,,,2025-09-23 10:47,2025-11-11 12:55
U-000058,M-0030,SN-M-0030-KZV38C,LBL-KZV38C,B,Leves marcas estéticas,S-0001,2025-09-23,"111,06",L-0001,SOLD,,,2025-09-23 10:49,2025-09-27 12:08
U-000059,M-0030,SN-M-0030-263ERA,LBL-263ERA,C,Tara visible / revisar,S-0001,2025-09-23,"104,37",L-0001,SOLD,,,2025-09-23 10:38,2025-10-20 12:28
U-000060,M-0030,SN-M-0030-LLN2CH,LBL-LLN2CH,B,Leves marcas estéticas,S-0001,2025-09-23,"119,44",L-0001,SOLD,,,2025-09-23 10:30,2025-11-02 12:06
U-000061,M-0030,SN-M-0030-TFPDCW,LBL-TFPDCW,A,Perfecto / muy leve,S-0001,2025-09-23,"129,83",L-0001,SOLD,,,2025-09-23 10:11,2025-10-18 12:23
U-000062,M-0030,SN-M-0030-EQ6IT1,LBL-EQ6IT1,B,Leves marcas estéticas,S-0001,2025-09-23,"151,28",L-0003,AVAILABLE,,,2025-09-23 10:36,2025-09-23 10:17
U-000063,M-0030,SN-M-0030-N0HIIF,LBL-N0HIIF,C,Tara visible / revisar,S-0001,2025-09-23,"118,35",L-0001,SOLD,,,2025-09-23 10:16,2025-09-29 12:02
U-000064,M-0030,SN-M-0030-SI3X9D,LBL-SI3X9D,B,Leves marcas estéticas,S-0001,2025-09-23,"153,63",L-0001,SOLD,,,2025-09-23 10:02,2025-11-21 12:55
U-000065,M-0030,SN-M-0030-KEG9U7,LBL-KEG9U7,A,Perfecto / muy leve,S-0001,2025-09-23,"156,44",L-0003,AVAILABLE,,,2025-09-23 10:49,2025-09-23 10:49
U-000066,M-0030,SN-M-0030-XAWZMB,LBL-XAWZMB,A,Perfecto / muy leve,S-0001,2025-09-23,"107,29",L-0005,IN_REVIEW,,,2025-09-23 10:38,2025-09-23 10:46
U-000067,M-0030,SN-M-0030-XHALYG,LBL-XHALYG,A,Perfecto / muy leve,S-0001,2025-09-23,"116,81",L-0001,SOLD,,,2025-09-23 10:30,2025-10-05 12:53
U-000068,M-0030,SN-M-0030-O2XFTX,LBL-O2XFTX,A,Perfecto / muy leve,S-0001,2025-09-23,"120,87",L-0005,IN_REVIEW,,,2025-09-23 10:19,2025-09-23 10:26
U-000069,M-0030,SN-M-0030-8LUMO5,LBL-8LUMO5,C,Tara visible / revisar,S-0001,2025-09-23,"107,44",L-0001,SOLD,,,2025-09-23 10:25,2025-10-31 12:51
U-000070,M-0030,SN-M-0030-7PFEDU,LBL-7PFEDU,A,Perfecto / muy leve,S-0001,2025-09-23,"150,88",L-0002,AVAILABLE,,,2025-09-23 10:35,2025-09-23 10:09
U-000071,M-0028,SN-M-0028-U70GMF,LBL-U70GMF,A,Perfecto / muy leve,S-0001,2025-09-23,"90,49",L-0001,SOLD,,,2025-09-23 10:19,2025-11-24 12:04
U-000072,M-0028,SN-M-0028-4B6LVW,LBL-4B6LVW,A,Perfecto / muy leve,S-0001,2025-09-23,"122,62",L-0001,SOLD,,,2025-09-23 10:40,2025-11-24 12:39
U-000073,M-0028,SN-M-0028-4WWHRU,LBL-4WWHRU,A,Perfecto / muy leve,S-0001,2025-09-23,"133,89",L-0001,SOLD,,,2025-09-23 10:07,2025-11-10 12:24
U-000074,M-0028,SN-M-0028-I06BU1,LBL-I06BU1,A,Perfecto / muy leve,S-0001,2025-09-23,"128,89",L-0004,RESERVED,2026-01-15,C-0001,2025-09-23 10:29,2025-09-23 10:35
U-000075,M-0028,SN-M-0028-42XLIO,LBL-42XLIO,A,Perfecto / muy leve,S-0001,2025-09-23,"112,23",L-0002,AVAILABLE,,,2025-09-23 10:39,2025-09-23 10:31
U-000076,M-0028,SN-M-0028-QQW343,LBL-QQW343,B,Leves marcas estéticas,S-0001,2025-09-23,"90,49",L-0003,AVAILABLE,,,2025-09-23 10:05,2025-09-23 10:51
U-000077,M-0028,SN-M-0028-PSBWC0,LBL-PSBWC0,B,Leves marcas estéticas,S-0001,2025-09-23,"112,62",L-0004,AVAILABLE,,,2025-09-23 10:57,2025-09-23 10:24
U-000078,M-0028,SN-M-0028-X2ACWY,LBL-X2ACWY,A,Perfecto / muy leve,S-0001,2025-09-23,"93,7",L-0005,IN_REVIEW,,,2025-09-23 10:51,2025-09-23 10:58
U-000079,M-0028,SN-M-0028-2YZH3V,LBL-2YZH3V,A,Perfecto / muy leve,S-0001,2025-09-23,"103,28",L-0001,SOLD,,,2025-09-23 10:09,2025-11-09 12:46
U-000080,M-0028,SN-M-0028-S7HJSL,LBL-S7HJSL,A,Perfecto / muy leve,S-0001,2025-09-23,"96,22",L-0003,AVAILABLE,,,2025-09-23 10:43,2025-09-23 10:20
U-000081,M-0028,SN-M-0028-6G2ETW,LBL-6G2ETW,A,Perfecto / muy leve,S-0001,2025-09-23,"130,62",L-0004,AVAILABLE,,,2025-09-23 10:44,2025-09-23 10:56
U-000082,M-0028,SN-M-0028-6JT40N,LBL-6JT40N,A,Perfecto / muy leve,S-0001,2025-09-23,"105,52",L-0001,SOLD,,,2025-09-23 10:48,2025-10-08 12:56
U-000083,M-0028,SN-M-0028-PG0B3J,LBL-PG0B3J,B,Leves marcas estéticas,S-0001,2025-09-23,"136,16",L-0005,IN_REVIEW,,,2025-09-23 10:57,2025-10-30 16:27
U-000084,M-0028,SN-M-0028-00HKWP,LBL-00HKWP,A,Perfecto / muy leve,S-0001,2025-09-23,"89,53",L-0001,SOLD,,,2025-09-23 10:41,2025-11-04 12:46
U-000085,M-0028,SN-M-0028-AAMDMI,LBL-AAMDMI,B,Leves marcas estéticas,S-0001,2025-09-23,"116,49",L-0004,AVAILABLE,,,2025-09-23 10:53,2025-09-23 10:30
U-000086,M-0010,SN-M-0010-A2ZQCF,LBL-A2ZQCF,B,Leves marcas estéticas,S-0001,2025-09-23,"112,7",L-0002,AVAILABLE,,,2025-09-23 10:03,2025-09-23 10:41
U-000087,M-0010,SN-M-0010-36VUVS,LBL-36VUVS,B,Leves marcas estéticas,S-0001,2025-09-23,"106,86",L-0002,AVAILABLE,,,2025-09-23 10:34,2025-09-23 10:01
U-000088,M-0010,SN-M-0010-OIC2AT,LBL-OIC2AT,C,Tara visible / revisar,S-0001,2025-09-23,"89,75",L-0001,SOLD,,,2025-09-23 10:41,2025-10-19 12:14
U-000089,M-0010,SN-M-0010-XOWSCW,LBL-XOWSCW,C,Tara visible / revisar,S-0001,2025-09-23,"117,36",L-0004,AVAILABLE,,,2025-09-23 10:00,2025-09-23 10:24
U-000090,M-0010,SN-M-0010-40Q0QI,LBL-40Q0QI,A,Perfecto / muy leve,S-0001,2025-09-23,"110,61",L-0003,AVAILABLE,,,2025-09-23 10:57,2025-09-23 10:47
U-000091,M-0010,SN-M-0010-77JBWY,LBL-77JBWY,B,Leves marcas estéticas,S-0001,2025-09-23,"148,83",L-0005,IN_REVIEW,,,2025-09-23 10:41,2025-09-23 10:59
U-000092,M-0010,SN-M-0010-8H5AJI,LBL-8H5AJI,B,Leves marcas estéticas,S-0001,2025-09-23,"150,36",L-0003,AVAILABLE,,,2025-09-23 10:12,2025-09-23 10:56
U-000093,M-0010,SN-M-0010-NVN479,LBL-NVN479,B,Leves marcas estéticas,S-0001,2025-09-23,"127,58",L-0002,AVAILABLE,,,2025-09-23 10:44,2025-11-26 16:33
U-000094,M-0003,SN-M-0003-8I52OV,LBL-8I52OV,B,Leves marcas estéticas,S-0001,2025-09-23,"95,69",L-0001,SOLD,,,2025-09-23 10:06,2025-11-05 12:23
U-000095,M-0003,SN-M-0003-7MFBBY,LBL-7MFBBY,B,Leves marcas estéticas,S-0001,2025-09-23,"121,86",L-0001,SOLD,,,2025-09-23 10:54,2025-11-28 12:03
U-000096,M-0007,SN-M-0007-HB861D,LBL-HB861D,B,Leves marcas estéticas,S-0002,2025-09-30,"142,46",L-0002,AVAILABLE,,,2025-09-30 10:06,2025-09-30 10:50
U-000097,M-0007,SN-M-0007-1HLPAJ,LBL-1HLPAJ,A,Perfecto / muy leve,S-0002,2025-09-30,"147,45",L-0001,SOLD,,,2025-09-30 10:49,2025-11-21 12:05
U-000098,M-0007,SN-M-0007-S4WBOP,LBL-S4WBOP,B,Leves marcas estéticas,S-0002,2025-09-30,"125,39",L-0004,AVAILABLE,,,2025-09-30 10:36,2025-09-30 10:13
U-000099,M-0007,SN-M-0007-Z3UKPS,LBL-Z3UKPS,A,Perfecto / muy leve,S-0002,2025-09-30,"149,53",L-0003,AVAILABLE,,,2025-09-30 10:31,2025-09-30 10:06
U-000100,M-0007,SN-M-0007-R2GRM3,LBL-R2GRM3,A,Perfecto / muy leve,S-0002,2025-09-30,"161,09",L-0002,RESERVED,2026-01-17,C-0001,2025-09-30 10:44,2025-09-30 10:14
U-000101,M-0007,SN-M-0007-RDWC2Z,LBL-RDWC2Z,B,Leves marcas estéticas,S-0002,2025-09-30,"142,2",L-0003,AVAILABLE,,,2025-09-30 10:59,2025-09-30 10:25
U-000102,M-0007,SN-M-0007-60PXNK,LBL-60PXNK,B,Leves marcas estéticas,S-0002,2025-09-30,"137,24",L-0004,RESERVED,2026-01-17,C-0004,2025-09-30 10:14,2025-09-30 10:29
U-000103,M-0007,SN-M-0007-EVYVBU,LBL-EVYVBU,B,Leves marcas estéticas,S-0002,2025-09-30,"156,56",L-0001,SOLD,,,2025-09-30 10:47,2025-11-28 12:21
U-000104,M-0007,SN-M-0007-GP1UEQ,LBL-GP1UEQ,C,Tara visible / revisar,S-0002,2025-09-30,"101,05",L-0001,SOLD,,,2025-09-30 10:48,2025-11-14 12:52
U-000105,M-0007,SN-M-0007-3W090V,LBL-3W090V,A,Perfecto / muy leve,S-0002,2025-09-30,"118,78",L-0001,SOLD,,,2025-09-30 10:46,2025-10-22 12:51
U-000106,M-0027,SN-M-0027-DN920P,LBL-DN920P,A,Perfecto / muy leve,S-0002,2025-09-30,"166,68",L-0002,AVAILABLE,,,2025-09-30 10:56,2025-09-30 10:24
U-000107,M-0027,SN-M-0027-QA4PI9,LBL-QA4PI9,A,Perfecto / muy leve,S-0002,2025-09-30,"123,69",L-0001,SOLD,,,2025-09-30 10:25,2025-11-03 12:21
U-000108,M-0027,SN-M-0027-06PU0P,LBL-06PU0P,A,Perfecto / muy leve,S-0002,2025-09-30,"172,56",L-0001,SOLD,,,2025-09-30 10:44,2025-11-09 12:25
U-000109,M-0027,SN-M-0027-4YXQLW,LBL-4YXQLW,A,Perfecto / muy leve,S-0002,2025-09-30,"151,44",L-0004,AVAILABLE,,,2025-09-30 10:45,2025-09-30 10:40
U-000110,M-0027,SN-M-0027-F4RA4S,LBL-F4RA4S,B,Leves marcas estéticas,S-0002,2025-09-30,"183,08",L-0001,SOLD,,,2025-09-30 10:49,2025-12-02 12:27
U-000111,M-0029,SN-M-0029-6DJHZ8,LBL-6DJHZ8,A,Perfecto / muy leve,S-0002,2025-09-30,"125,47",L-0005,IN_REVIEW,,,2025-09-30 10:34,2025-09-30 10:13
U-000112,M-0029,SN-M-0029-ZSX3SO,LBL-ZSX3SO,C,Tara visible / revisar,S-0002,2025-09-30,"99,63",L-0003,AVAILABLE,,,2025-09-30 10:32,2025-09-30 10:48
U-000113,M-0029,SN-M-0029-70WWJN,LBL-70WWJN,A,Perfecto / muy leve,S-0002,2025-09-30,"109,15",L-0001,SOLD,,,2025-09-30 10:44,2025-10-08 12:24
U-000114,M-0029,SN-M-0029-MJI07S,LBL-MJI07S,A,Perfecto / muy leve,S-0002,2025-09-30,"152,58",L-0002,AVAILABLE,,,2025-09-30 10:10,2025-09-30 10:08
U-000115,M-0029,SN-M-0029-7C2GXZ,LBL-7C2GXZ,B,Leves marcas estéticas,S-0002,2025-09-30,"113,4",L-0003,AVAILABLE,,,2025-09-30 10:29,2025-09-30 10:18
U-000116,M-0029,SN-M-0029-1X2Q2I,LBL-1X2Q2I,B,Leves marcas estéticas,S-0002,2025-09-30,"145,76",L-0005,IN_REVIEW,,,2025-09-30 10:11,2025-09-30 10:30
U-000117,M-0029,SN-M-0029-AZKIKR,LBL-AZKIKR,B,Leves marcas estéticas,S-0002,2025-09-30,"142,76",L-0001,SOLD,,,2025-09-30 10:09,2025-10-31 12:07
U-000118,M-0029,SN-M-0029-KNDUL7,LBL-KNDUL7,B,Leves marcas estéticas,S-0002,2025-09-30,"125,29",L-0001,SOLD,,,2025-09-30 10:00,2025-10-10 12:50
U-000119,M-0029,SN-M-0029-8XJDFI,LBL-8XJDFI,B,Leves marcas estéticas,S-0002,2025-09-30,"125,37",L-0001,SOLD,,,2025-09-30 10:50,2025-10-10 12:06
U-000120,M-0029,SN-M-0029-G6V2Y6,LBL-G6V2Y6,B,Leves marcas estéticas,S-0002,2025-09-30,"154,81",L-0004,AVAILABLE,,,2025-09-30 10:13,2025-09-30 10:33
U-000121,M-0029,SN-M-0029-C4YEEP,LBL-C4YEEP,B,Leves marcas estéticas,S-0002,2025-09-30,"132,95",L-0001,SOLD,,,2025-09-30 10:29,2025-12-03 12:39
U-000122,M-0029,SN-M-0029-FRRT5A,LBL-FRRT5A,B,Leves marcas estéticas,S-0002,2025-09-30,"132,63",L-0004,AVAILABLE,,,2025-09-30 10:18,2025-09-30 10:53
U-000123,M-0029,SN-M-0029-QP9YGM,LBL-QP9YGM,B,Leves marcas estéticas,S-0002,2025-09-30,"105,88",L-0001,SOLD,,,2025-09-30 10:59,2025-12-05 12:35
U-000124,M-0029,SN-M-0029-3DR1FH,LBL-3DR1FH,B,Leves marcas estéticas,S-0002,2025-09-30,"112,24",L-0004,AVAILABLE,,,2025-09-30 10:23,2025-09-30 10:21
U-000125,M-0018,SN-M-0018-T6KMJB,LBL-T6KMJB,A,Perfecto / muy leve,S-0002,2025-09-30,"62,73",L-0003,RESERVED,2026-01-16,C-0004,2025-09-30 10:32,2025-09-30 10:17
U-000126,M-0018,SN-M-0018-5MHREG,LBL-5MHREG,B,Leves marcas estéticas,S-0002,2025-09-30,"55,95",L-0001,SOLD,,,2025-09-30 10:50,2025-11-26 12:07
U-000127,M-0018,SN-M-0018-OTOUOD,LBL-OTOUOD,A,Perfecto / muy leve,S-0002,2025-09-30,"76,64",L-0004,AVAILABLE,,,2025-09-30 10:03,2025-09-30 10:50
U-000128,M-0018,SN-M-0018-STNFYY,LBL-STNFYY,C,Tara visible / revisar,S-0002,2025-09-30,"46,43",L-0004,RESERVED,2026-01-17,C-0004,2025-09-30 10:29,2025-09-30 10:40
U-000129,M-0018,SN-M-0018-1DGB16,LBL-1DGB16,B,Leves marcas estéticas,S-0002,2025-09-30,"63,14",L-0005,IN_REVIEW,,,2025-09-30 10:35,2025-09-30 10:45
U-000130,M-0018,SN-M-0018-JKPLPX,LBL-JKPLPX,C,Tara visible / revisar,S-0002,2025-09-30,"45,71",L-0001,SOLD,,,2025-09-30 10:52,2025-11-03 12:25
U-000131,M-0018,SN-M-0018-1PZOCY,LBL-1PZOCY,B,Leves marcas estéticas,S-0002,2025-09-30,"81,75",L-0002,AVAILABLE,,,2025-09-30 10:30,2025-09-30 10:49
U-000132,M-0018,SN-M-0018-ODXHFA,LBL-ODXHFA,A,Perfecto / muy leve,S-0002,2025-09-30,"72,53",L-0002,AVAILABLE,,,2025-09-30 10:13,2025-09-30 10:55
U-000133,M-0018,SN-M-0018-ERJUQ0,LBL-ERJUQ0,C,Tara visible / revisar,S-0002,2025-09-30,"53,6",L-0004,AVAILABLE,,,2025-09-30 10:54,2025-09-30 10:09
U-000134,M-0018,SN-M-0018-0DWZQ7,LBL-0DWZQ7,A,Perfecto / muy leve,S-0002,2025-09-30,"80,89",L-0001,SOLD,,,2025-09-30 10:03,2025-11-14 12:38
U-000135,M-0018,SN-M-0018-5YWOLV,LBL-5YWOLV,C,Tara visible / revisar,S-0002,2025-09-30,"65,48",L-0001,SOLD,,,2025-09-30 10:23,2025-11-29 12:40
U-000136,M-0018,SN-M-0018-0QF8E8,LBL-0QF8E8,A,Perfecto / muy leve,S-0002,2025-09-30,"76,05",L-0003,AVAILABLE,,,2025-09-30 10:17,2025-09-30 10:50
